"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.05.2020","17,92","17,64","18,13","17,47","39,78M","4,49%"
"07.05.2020","17,15","18,05","18,08","17,00","70,09M","-4,30%"
"06.05.2020","17,92","18,34","18,44","17,69","41,72M","-2,08%"
"05.05.2020","18,30","18,50","19,04","18,16","50,97M","0,10%"
"04.05.2020","18,28","18,69","18,72","18,06","43,99M","-4,44%"
"30.04.2020","19,13","19,03","19,57","19,03","69,51M","-7,22%"
"29.04.2020","20,62","20,51","20,71","19,87","36,51M","3,36%"
"28.04.2020","19,95","19,53","20,23","19,37","56,86M","8,77%"
"27.04.2020","18,34","18,62","19,04","18,13","43,74M","2,91%"
"24.04.2020","17,82","19,01","19,20","17,18","72,53M","-7,80%"
"23.04.2020","19,33","19,88","20,13","19,01","42,45M","-1,43%"
"22.04.2020","19,61","19,48","20,12","19,35","43,12M","-0,36%"
"20.04.2020","19,68","19,86","20,06","19,53","41,27M","-3,24%"
"17.04.2020","20,34","20,46","20,67","19,74","26,56M","1,95%"
"16.04.2020","19,95","20,80","20,82","19,89","28,97M","-2,59%"
"15.04.2020","20,48","20,72","21,04","20,38","36,01M","-2,89%"
"14.04.2020","21,09","21,48","22,04","21,09","34,32M","1,09%"
"13.04.2020","20,86","20,32","20,86","19,80","35,32M","2,59%"
"09.04.2020","20,33","20,61","21,14","20,22","41,39M","-0,04%"
"08.04.2020","20,34","19,89","20,72","19,73","37,11M","2,66%"
"07.04.2020","19,82","20,43","20,82","19,77","40,30M","3,76%"
"06.04.2020","19,10","18,74","19,42","18,64","62,16M","9,47%"
"03.04.2020","17,45","17,98","18,01","16,55","44,88M","-3,71%"
"02.04.2020","18,12","18,03","18,51","17,82","32,74M","0,55%"
"01.04.2020","18,02","18,15","18,30","17,58","28,04M","-4,38%"
"31.03.2020","18,84","19,28","19,50","18,51","42,57M","-3,44%"
"30.03.2020","19,52","19,18","19,81","18,84","34,99M","3,01%"
"27.03.2020","18,95","19,25","19,80","18,81","34,79M","-6,50%"
"26.03.2020","20,26","20,16","21,13","19,40","42,09M","2,11%"
"25.03.2020","19,84","18,16","21,27","18,06","39,08M","7,48%"
"24.03.2020","18,46","17,27","18,72","17,18","40,41M","15,05%"
"23.03.2020","16,05","17,71","17,89","15,71","58,43M","-8,16%"
"20.03.2020","17,47","19,55","19,71","17,22","54,98M","-7,28%"
"19.03.2020","18,85","18,16","19,52","17,18","59,48M","0,29%"
"18.03.2020","18,79","19,80","20,44","17,89","64,78M","-11,66%"
"17.03.2020","21,27","20,30","22,31","19,66","59,46M","8,03%"
"16.03.2020","19,69","20,34","21,95","19,65","50,31M","-14,27%"
"13.03.2020","22,97","23,34","23,38","19,99","65,41M","16,87%"
"12.03.2020","19,65","19,98","20,71","19,07","42,18M","-13,41%"
"11.03.2020","22,70","24,07","24,31","21,81","38,69M","-8,09%"
"10.03.2020","24,69","25,43","25,77","23,81","36,47M","2,41%"
"09.03.2020","24,11","24,22","24,93","23,75","50,28M","-7,20%"
"06.03.2020","25,98","25,93","26,56","25,63","33,18M","-2,85%"
"05.03.2020","26,75","27,38","27,60","26,51","26,51M","-3,28%"
"04.03.2020","27,66","27,77","27,82","27,00","32,22M","1,10%"
"03.03.2020","27,36","27,79","28,19","27,17","34,07M","-2,59%"
"02.03.2020","28,08","27,73","28,21","27,34","36,68M","1,34%"
"28.02.2020","27,71","27,29","27,86","26,96","46,10M","1,87%"
"27.02.2020","27,20","26,97","28,24","26,97","39,66M","-0,43%"
"26.02.2020","27,32","27,84","28,07","27,07","31,96M","-5,38%"
"21.02.2020","28,87","28,95","29,09","28,60","17,83M","-0,78%"
"20.02.2020","29,10","29,82","29,82","29,05","23,04M","-1,44%"
"19.02.2020","29,53","28,95","29,95","28,88","29,91M","1,43%"
"18.02.2020","29,11","29,06","29,38","28,75","28,77M","-0,39%"
"17.02.2020","29,22","29,56","29,62","29,22","11,89M","-0,83%"
"14.02.2020","29,47","30,14","30,18","29,35","24,33M","-2,25%"
"13.02.2020","30,15","30,52","30,52","29,92","21,13M","-1,92%"
"12.02.2020","30,74","31,14","31,27","30,44","54,19M","-1,34%"
"11.02.2020","31,15","31,27","31,59","30,90","29,93M","0,88%"
"10.02.2020","30,88","30,66","31,22","30,36","26,90M","1,07%"
"07.02.2020","30,55","30,07","30,98","30,04","25,04M","1,14%"
"06.02.2020","30,21","30,80","31,04","30,05","25,76M","-1,16%"
"05.02.2020","30,56","30,82","31,34","30,52","43,28M","1,93%"
"04.02.2020","29,98","30,57","30,58","29,93","22,63M","0,06%"
"03.02.2020","29,97","29,87","30,32","29,70","16,66M","0,64%"
"31.01.2020","29,78","29,91","30,13","29,53","19,10M","-1,67%"
"30.01.2020","30,28","29,62","30,36","29,49","17,39M","1,00%"
"29.01.2020","29,99","30,65","30,71","29,88","17,78M","-1,43%"
"28.01.2020","30,42","30,65","30,81","30,22","13,76M","0,12%"
"27.01.2020","30,38","30,76","30,85","30,27","15,68M","-2,30%"
