"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.05.2020","22,32","22,02","22,77","21,90","35,57M","4,10%"
"07.05.2020","21,44","22,38","22,48","21,13","52,04M","-3,60%"
"06.05.2020","22,24","22,60","22,78","22,00","28,94M","-2,03%"
"05.05.2020","22,70","22,20","23,37","21,91","51,63M","3,70%"
"04.05.2020","21,89","21,95","22,09","21,78","31,75M","-3,80%"
"30.04.2020","22,75","22,58","23,31","22,45","46,09M","-3,76%"
"29.04.2020","23,64","23,98","24,10","23,14","31,29M","1,33%"
"28.04.2020","23,33","22,96","23,59","22,58","57,88M","8,25%"
"27.04.2020","21,56","21,53","22,13","21,09","38,29M","3,30%"
"24.04.2020","20,87","21,73","21,81","20,36","68,49M","-5,31%"
"23.04.2020","22,04","22,65","22,73","21,83","41,01M","-1,43%"
"22.04.2020","22,36","22,39","23,11","22,20","47,81M","-1,19%"
"20.04.2020","22,63","22,71","22,95","22,49","28,38M","-2,50%"
"17.04.2020","23,20","23,42","23,59","22,60","25,10M","1,80%"
"16.04.2020","22,79","23,68","23,80","22,78","30,83M","-2,52%"
"15.04.2020","23,38","23,83","24,46","23,35","34,57M","-3,70%"
"14.04.2020","24,28","24,44","25,13","24,28","33,70M","1,25%"
"13.04.2020","23,98","23,43","23,98","23,00","21,41M","2,13%"
"09.04.2020","23,48","24,44","24,68","23,48","37,09M","-2,81%"
"08.04.2020","24,16","22,99","24,37","22,92","40,80M","5,13%"
"07.04.2020","22,98","23,48","23,86","22,90","37,96M","3,70%"
"06.04.2020","22,17","22,13","22,67","21,88","39,17M","7,36%"
"03.04.2020","20,65","21,41","21,47","20,00","37,23M","-3,91%"
"02.04.2020","21,49","21,37","21,99","21,14","39,02M","0,47%"
"01.04.2020","21,39","22,21","22,37","21,18","44,03M","-7,26%"
"31.03.2020","23,06","23,92","24,22","22,78","40,24M","-4,23%"
"30.03.2020","24,08","23,08","24,36","22,80","30,15M","4,89%"
"27.03.2020","22,96","23,01","24,00","22,50","41,82M","-5,28%"
"26.03.2020","24,23","24,21","24,80","23,70","50,64M","2,75%"
"25.03.2020","23,58","22,22","24,71","22,00","43,67M","4,89%"
"24.03.2020","22,49","21,69","23,26","21,49","51,34M","9,65%"
"23.03.2020","20,51","22,25","22,48","19,99","53,30M","-6,94%"
"20.03.2020","22,04","23,37","23,95","21,59","73,16M","-3,50%"
"19.03.2020","22,84","22,76","23,71","21,12","73,41M","-2,56%"
"18.03.2020","23,43","23,95","24,23","21,53","83,59M","-6,94%"
"17.03.2020","25,18","24,49","26,69","23,48","70,17M","5,88%"
"16.03.2020","23,78","23,48","25,64","22,71","62,15M","-9,19%"
"13.03.2020","26,19","26,92","27,16","23,63","89,49M","11,06%"
"12.03.2020","23,58","23,18","24,54","22,40","58,28M","-9,82%"
"11.03.2020","26,15","27,78","28,12","25,01","47,60M","-8,14%"
"10.03.2020","28,47","29,48","29,68","27,55","44,43M","2,48%"
"09.03.2020","27,78","27,98","28,43","27,35","47,28M","-6,93%"
"06.03.2020","29,85","29,58","30,33","29,30","32,43M","-2,13%"
"05.03.2020","30,50","31,24","31,47","30,16","30,41M","-3,42%"
"04.03.2020","31,58","31,79","31,81","30,91","31,23M","0,96%"
"03.03.2020","31,28","31,63","31,95","30,94","43,69M","-1,82%"
"02.03.2020","31,86","31,88","32,27","31,25","51,28M","-0,33%"
"28.02.2020","31,96","31,07","32,04","30,77","56,07M","2,99%"
"27.02.2020","31,04","30,67","32,29","30,54","61,01M","0,06%"
"26.02.2020","31,02","31,07","31,56","30,74","35,23M","-4,99%"
"21.02.2020","32,64","32,74","32,86","32,41","19,50M","-0,95%"
"20.02.2020","32,96","33,18","33,22","32,79","48,01M","-0,35%"
"19.02.2020","33,07","32,67","33,36","32,49","19,77M","1,43%"
"18.02.2020","32,61","32,36","32,70","31,96","23,95M","0,42%"
"17.02.2020","32,47","32,95","32,95","32,34","32,24M","-0,92%"
"14.02.2020","32,77","33,22","33,34","32,64","31,51M","-1,69%"
"13.02.2020","33,33","33,64","33,72","33,15","20,28M","-1,55%"
"12.02.2020","33,86","34,09","34,39","33,69","66,28M","-0,40%"
"11.02.2020","33,99","34,08","34,36","33,58","95,51M","2,30%"
"10.02.2020","33,23","32,69","33,51","32,65","46,01M","1,69%"
"07.02.2020","32,68","32,04","33,10","31,99","37,12M","1,29%"
"06.02.2020","32,26","32,67","32,70","32,09","26,49M","-0,24%"
"05.02.2020","32,34","32,68","33,07","32,34","34,79M","0,60%"
"04.02.2020","32,14","32,34","32,43","31,89","15,73M","0,79%"
"03.02.2020","31,89","31,99","32,29","31,78","17,59M","0,29%"
"31.01.2020","31,80","31,96","32,35","31,53","25,46M","-1,88%"
"30.01.2020","32,41","31,63","32,41","31,57","41,79M","1,46%"
"29.01.2020","31,94","32,64","32,74","31,89","20,07M","-1,55%"
"28.01.2020","32,45","32,72","32,91","32,26","17,19M","-0,03%"
"27.01.2020","32,46","32,69","33,03","32,37","14,39M","-2,16%"
"24.01.2020","33,17","33,53","33,54","32,89","14,76M","-0,75%"
"23.01.2020","33,43","32,46","33,73","32,36","33,08M","2,37%"
"22.01.2020","32,65","32,80","33,01","32,46","17,44M","0,60%"
"21.01.2020","32,46","32,95","33,41","32,40","26,88M","-2,13%"
"20.01.2020","33,16","33,72","33,91","33,10","18,32M","-2,03%"
"17.01.2020","33,85","33,81","34,20","33,65","19,72M","0,69%"
"16.01.2020","33,62","33,81","33,98","33,35","22,86M","0,20%"
"15.01.2020","33,55","33,80","33,85","33,33","32,76M","-1,23%"
"14.01.2020","33,97","33,83","33,97","33,55","18,43M","0,00%"
"13.01.2020","33,97","33,93","34,30","33,66","29,20M","1,33%"
"10.01.2020","33,52","33,99","34,35","33,49","25,52M","-0,89%"
"09.01.2020","33,82","34,68","34,81","33,45","48,42M","-1,99%"
"08.01.2020","34,51","35,32","35,66","34,51","25,98M","-1,63%"
"07.01.2020","35,08","35,92","36,08","35,08","20,00M","-2,32%"
"06.01.2020","35,92","36,38","36,41","35,76","22,29M","-1,49%"
"03.01.2020","36,46","36,33","37,05","36,28","24,89M","-1,05%"
"02.01.2020","36,85","36,12","36,85","35,84","20,67M","2,55%"
"30.12.2019","35,93","36,16","36,40","35,70","9,23M","-0,54%"
"27.12.2019","36,12","36,32","36,50","35,75","13,46M","-0,27%"
"26.12.2019","36,22","35,64","36,22","35,49","16,33M","1,52%"
"23.12.2019","35,68","35,35","35,68","35,17","11,69M","0,93%"
"20.12.2019","35,35","35,48","35,54","35,16","24,86M","-0,44%"
"19.12.2019","35,50","35,02","35,55","34,97","22,05M","0,49%"
"18.12.2019","35,33","34,79","35,59","34,60","40,45M","1,28%"
"17.12.2019","34,88","34,62","35,14","34,42","19,25M","1,52%"
"16.12.2019","34,36","35,29","35,48","34,36","21,66M","-2,29%"
"13.12.2019","35,17","34,67","35,22","34,24","27,26M","2,13%"
"12.12.2019","34,43","34,78","34,92","34,20","23,36M","-0,03%"
"11.12.2019","34,44","35,31","35,48","34,40","37,04M","-1,17%"
"10.12.2019","34,85","35,36","35,57","34,62","21,53M","-1,45%"
"09.12.2019","35,36","34,83","35,68","34,61","26,70M","1,95%"
"06.12.2019","34,68","35,31","35,49","34,68","28,79M","-1,81%"
"05.12.2019","35,32","35,19","35,86","35,12","29,08M","-0,14%"
"04.12.2019","35,37","34,24","35,38","34,15","34,06M","3,60%"
"03.12.2019","34,14","34,43","34,55","33,77","16,00M","0,03%"
"02.12.2019","34,13","33,78","34,36","33,71","16,45M","1,38%"
"29.11.2019","33,67","33,54","33,70","33,18","16,53M","0,58%"
"28.11.2019","33,47","33,33","33,57","32,91","15,85M","-0,29%"
"27.11.2019","33,57","33,57","33,79","33,14","19,37M","0,58%"
"26.11.2019","33,38","33,86","33,95","33,23","26,18M","-2,04%"
"25.11.2019","34,07","34,63","34,73","33,87","15,20M","-1,43%"
"22.11.2019","34,57","34,11","34,66","34,06","16,43M","0,68%"
"21.11.2019","34,33","33,99","34,34","33,89","26,06M","1,02%"
"19.11.2019","33,99","34,34","34,44","33,72","17,89M","-1,10%"
"18.11.2019","34,36","34,83","35,02","34,33","13,35M","-0,45%"
"14.11.2019","34,52","34,34","34,63","34,02","14,01M","0,65%"
"13.11.2019","34,30","34,51","34,67","34,03","17,69M","-1,01%"
"12.11.2019","34,64","34,85","35,11","34,28","19,64M","-1,70%"
"11.11.2019","35,24","35,02","35,60","34,73","17,48M","0,44%"
"08.11.2019","35,09","35,18","35,58","34,85","15,09M","-1,49%"
"07.11.2019","35,62","35,58","35,75","35,38","15,69M","0,60%"
"06.11.2019","35,41","35,89","36,14","35,38","19,03M","-1,35%"
"05.11.2019","35,89","36,41","36,75","35,60","46,98M","1,73%"
"04.11.2019","35,28","35,26","35,55","35,06","10,07M","0,33%"
"01.11.2019","35,17","35,47","35,71","34,74","18,93M","0,37%"
"31.10.2019","35,04","35,10","35,46","34,50","26,00M","-1,74%"
"30.10.2019","35,66","35,27","35,78","34,73","23,54M","0,63%"
"29.10.2019","35,43","35,87","36,00","35,36","16,48M","-1,77%"
"28.10.2019","36,07","35,44","36,29","35,33","20,85M","1,36%"
"25.10.2019","35,59","35,35","35,91","35,14","18,91M","0,66%"
"24.10.2019","35,36","35,26","35,62","34,94","27,21M","0,47%"
"23.10.2019","35,19","34,42","35,54","34,34","34,33M","1,42%"
"22.10.2019","34,70","33,62","34,71","33,53","35,49M","3,10%"
"21.10.2019","33,65","33,13","33,72","32,87","16,30M","1,64%"
"18.10.2019","33,11","33,48","33,48","33,02","11,37M","-1,18%"
"17.10.2019","33,51","33,70","33,97","33,19","16,99M","-0,60%"
"16.10.2019","33,71","33,33","33,83","32,72","17,64M","1,43%"
"15.10.2019","33,24","33,34","33,50","33,06","15,92M","-0,23%"
"14.10.2019","33,31","32,70","33,40","32,61","10,21M","1,68%"
"11.10.2019","32,76","32,49","33,15","32,48","19,92M","1,29%"
"10.10.2019","32,35","32,01","32,45","31,92","10,82M","0,72%"
"09.10.2019","32,12","31,90","32,34","31,55","12,41M","1,59%"
"08.10.2019","31,61","32,03","32,17","31,49","14,74M","-0,43%"
"07.10.2019","31,75","32,19","32,53","31,70","15,46M","-1,85%"
"04.10.2019","32,35","32,14","32,40","31,69","25,05M","0,48%"
"03.10.2019","32,19","32,14","32,49","31,77","21,82M","0,03%"
"02.10.2019","32,18","32,73","32,82","32,03","23,69M","-2,75%"
"01.10.2019","33,09","34,06","34,15","33,07","16,88M","-2,27%"
"30.09.2019","33,86","34,36","34,60","33,86","15,80M","-1,41%"
"27.09.2019","34,34","34,40","34,45","33,80","16,14M","-0,42%"
"26.09.2019","34,49","33,72","34,51","33,45","18,63M","2,88%"
"25.09.2019","33,52","33,05","33,75","32,91","14,11M","1,17%"
"24.09.2019","33,14","33,66","33,73","32,97","10,47M","-1,04%"
"23.09.2019","33,48","33,54","33,56","33,06","13,19M","-0,32%"
